search_term,tipo_gasto,grupo,categoria,subcategoria
VANS   *ORDER86489593,Variável,Custo de vida,Vestuário & calçado,Vans
VANS OUTLET CATARINA,Variável,Custo de vida,Vestuário & calçado,Vans
VANS OUTLET TEODORO LI,Variável,Custo de vida,Vestuário & calçado,Vans
VANS TEODORO*ZZLINK,Variável,Custo de vida,Vestuário & calçado,Vans
VASCO WORLDWIDE BRAZIL,Variável,Custo de vida,Vestuário & calçado,Vans
V&C INOVACOES E FOTOG,Need to check,Need to check,Need to check,Need to check
VETSTECNOLOGIA,Need to check,Need to check,Need to check,Need to check
VFS BRASIL SERVICOS DE,Need to check,Need to check,Need to check,Need to check
VHNPCOMERCIOALIME,Need to check,Need to check,Need to check,Need to check
VIACAO PIRACICABANA S,Need to check,Need to check,Need to check,Need to check
VICTOR HUGO BABA E C,Need to check,Need to check,Need to check,Need to check
VILA DE SAO FRANCISCO,Variável,Custo de vida,Alimentação,Restaurante
VILLA DO CHOPP,Variável,Custo de vida,Alimentação,Restaurante
VILLA VERDE MADURO,Variável,Custo de vida,Alimentação,Restaurante
VILLE BAR,Variável,Lazer,Alimentação,Bar
VILMA LOPES RESTAURAN,Variável,Custo de vida,Alimento - externo,Restaurante
VILMA LOPES RESTAURANT,Variável,Custo de vida,Alimento - externo,Restaurante
VINDI  *BOLSASBOHO,Need to check,Need to check,Need to check,Need to check
VINDI       *CASABUENO,Variável,Lazer,Presente,
VINDI   CUBERBRASILCUB,Variável,Lazer,Presente,
VINICIOSDESOUZA,Need to check,Need to check,Need to check,Need to check
VINICIUS MOLINA PIRES,Need to check,Need to check,Need to check,Need to check
VINTAGE SHOP COMERCIO,Variável,Custo de vida,Vestuário,Roupa
VINTE E CINCO MARCO,Variável,Custo de vida,Vestuário,Roupa
VIVA FITNESS STORE LT,Variável,Custo de vida,Vestuário,Roupa
VIVIANE*PAES,Need to check,Need to check,Need to check,Need to check
VLADISTATTOO,Need to check,Need to check,Need to check,Need to check
VO ANGELINA CAFE E PA,Variável,Custo de vida,Alimentação,Restaurante
WANDO,Need to check,Need to check,Need to check,Need to check
WELLHUB GYMPASS BR GYM,Essencial,Custo de vida,Saúde,Academia
WELLHUB GYMPASS BR WEL,Essencial,Custo de vida,Saúde,Academia
WENCESLAU CASCALDI LTD,Need to check,Need to check,Need to check,Need to check
WIN ESPETINHOS,Variável,Custo de vida,Alimentação,Restaurante
WJ BARBOSA,Variável,Lazer,Alimentação,Bar
YURII,Need to check,Need to check,Need to check,Need to check
YURII PRODUTOS ORIENTA,Need to check,Need to check,Need to check,Need to check
ZABEU PANIFICADORA E R,Variável,Custo de vida,Alimentação,Restaurante
ZAFFARI POMPEIA,Need to check,Need to check,Need to check,Need to check
ZAMMER SORVETERIA,Variável,Custo de vida,Alimentação,Restaurante
ZANELATO E ROSOLEN CH,Variável,Custo de vida,Alimentação,Restaurante
ZIG*ZIG*MORUMBIS,Need to check,Need to check,Need to check,Need to check
ZP *BART BARTE SOLUCOE,Variável,Lazer,Alimentação,Bar
ZP*IFOODBURGBAUR5DD1CF,Variável,Custo de vida,Alimentação,Restaurante
ZP*IFOODVIPSUSHI32493C,Variável,Custo de vida,Alimentação,Restaurante
